start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
13.995,19.307,1,UP,10000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
20.971,26.304,1,DOWN,10000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
29.291,34.603,1,UP,11000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
36.267,41.579,1,DOWN,11000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
44.587,49.92,1,UP,12000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
51.584,56.917,1,DOWN,12000,19.05,0.1905,20.32,2,6.35,A*,AA 6061
62.379,67.435,1,UP,9500,19.05,0.127,21.16667,2,6.35,A*,AA 6061
69.099,74.197,1,DOWN,9500,19.05,0.127,21.16667,2,6.35,A*,AA 6061
77.248,82.347,1,UP,10500,19.05,0.127,21.16667,2,6.35,A*,AA 6061
83.989,89.088,1,DOWN,10500,19.05,0.1905,21.16667,2,6.35,A*,AA 6061
92.096,97.216,1,UP,11500,19.05,0.127,21.16667,2,6.35,A*,AA 6061
98.837,103.915,1,DOWN,11500,19.05,0.127,21.16667,2,6.35,A*,AA 6061
