start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
14.336,18.837,0,UP,2250,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
24.192,27.861,0,DOWN,2250,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
35.883,39.616,0,UP,2250,0.254,26.67,25.4,5,50.6,C2,AISI 4140
44.288,47.339,0,DOWN,2250,0.254,26.67,25.4,5,50.6,C2,AISI 4140
54.592,57.813,0,UP,2250,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
61.973,64.576,0,DOWN,2250,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
71.296,74.112,0,UP,2250,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
77.888,80.192,0,DOWN,2250,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
87.488,91.989,0,UP,1700,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
97.365,100.992,0,DOWN,1700,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
109.035,112.811,0,UP,1700,0.254,26.67,25.4,5,50.6,C2,AISI 4140
117.461,120.512,0,DOWN,1700,0.254,26.67,25.4,5,50.6,C2,AISI 4140
127.765,130.965,0,UP,1700,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
135.125,137.728,0,DOWN,1700,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
144.469,147.264,0,UP,1700,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
151.061,153.344,0,DOWN,1700,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
160.491,164.992,0,UP,1900,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
170.347,173.995,0,DOWN,1900,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
182.016,185.792,0,UP,1900,0.254,26.67,25.4,5,50.6,C2,AISI 4140
190.443,193.493,0,DOWN,1900,0.254,26.67,25.4,5,50.6,C2,AISI 4140
200.747,203.968,0,UP,1900,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
208.128,210.731,0,DOWN,1900,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
217.429,220.267,0,UP,1900,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
224.043,226.325,0,DOWN,1900,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
233.472,237.995,0,UP,2100,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
243.328,246.997,0,DOWN,2100,0.254,26.67,21.16667,5,50.6,C2,AISI 4140
254.997,258.773,0,UP,2100,0.254,26.67,25.4,5,50.6,C2,AISI 4140
263.424,266.475,0,DOWN,2100,0.254,26.67,25.4,5,50.6,C2,AISI 4140
273.728,276.949,0,UP,2100,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
281.088,284.288,0,DOWN,2100,0.254,26.67,29.63333,5,50.6,C2,AISI 4140
290.432,293.248,0,UP,2100,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
297.024,299.307,0,DOWN,2100,0.254,26.67,33.86667,5,50.6,C2,AISI 4140
306.731,311.147,0,UP,1500,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
316.608,320.192,0,DOWN,1500,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
328.235,331.925,0,UP,1500,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
336.661,340.032,0,DOWN,1500,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
346.901,350.08,0,UP,1500,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
354.304,356.864,0,DOWN,1500,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
363.584,366.357,0,UP,1500,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
370.197,372.459,0,DOWN,1500,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
379.627,384.043,0,UP,1700,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
389.483,393.045,0,DOWN,1700,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
401.109,404.8,0,UP,1700,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
409.557,412.779,0,DOWN,1700,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
419.797,422.955,0,UP,1700,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
427.179,429.717,0,DOWN,1700,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
436.48,439.232,0,UP,1700,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
443.093,445.312,0,DOWN,1700,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
452.48,456.917,0,UP,1900,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
462.379,465.963,0,DOWN,1900,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
474.005,477.653,0,UP,1900,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
482.411,485.397,0,DOWN,1900,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
492.672,495.829,0,UP,1900,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
500.053,502.635,0,DOWN,1900,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
509.355,512.128,0,UP,1900,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
515.968,518.187,0,DOWN,1900,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
525.376,529.792,0,UP,2100,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
535.232,538.816,0,DOWN,2100,0.0508,26.67,21.16667,5,50.6,C2,AISI 4140
546.88,550.549,0,UP,2100,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
555.285,558.443,0,DOWN,2100,0.0508,26.67,25.4,5,50.6,C2,AISI 4140
565.547,568.704,0,UP,2100,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
572.928,575.552,0,DOWN,2100,0.0508,26.67,29.63333,5,50.6,C2,AISI 4140
582.229,584.981,0,UP,2100,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
588.843,591.104,0,DOWN,2100,0.0508,26.67,33.86667,5,50.6,C2,AISI 4140
