start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
8.64,12.16,2,UP,2900,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
14.613,18.133,2,DOWN,2900,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
22.08,25.6,2,UP,3400,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
28.032,31.573,2,DOWN,3400,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
35.52,39.061,2,UP,3900,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
41.451,44.992,2,DOWN,3900,14.2875,1.27,16.93333,4,12.7,D*,AISI 4140
49.536,54.101,2,UP,2750,14.2875,0.3175,12.7,4,12.7,D*,AISI 4140
57.024,61.589,2,DOWN,2750,14.2875,0.3175,12.7,4,12.7,D*,AISI 4140
66.027,70.656,2,UP,3250,14.2875,0.3175,12.7,4,12.7,D*,AISI 4140
73.451,78.208,2,DOWN,3250,14.2875,1.27,12.7,4,12.7,D*,AISI 4140
82.645,87.232,2,UP,3750,14.2875,0.3175,12.7,4,12.7,D*,AISI 4140
90.112,94.72,2,DOWN,3750,14.2875,0.3175,12.7,4,12.7,D*,AISI 4140
