start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
10.155,13.099,0,UP,8500,0.508,26.67,42.33333,3,50.8,B,AA 6061
16.917,19.755,0,DOWN,8500,0.508,26.67,42.33333,3,50.8,B,AA 6061
25.621,27.584,0,UP,8500,0.508,26.67,63.5,3,50.8,B,AA 6061
30.571,32.448,0,DOWN,8500,0.508,26.67,63.5,3,50.8,B,AA 6061
37.568,39.061,0,UP,8500,0.508,26.67,84.66667,3,50.8,B,AA 6061
41.643,43.072,0,DOWN,8500,0.508,26.67,84.66667,3,50.8,B,AA 6061
47.787,48.981,0,UP,8500,0.508,26.67,105.83333,3,50.8,B,AA 6061
51.349,52.48,0,DOWN,8500,0.508,26.67,105.83333,3,50.8,B,AA 6061
58.261,61.227,0,UP,9500,0.508,26.67,42.33333,3,50.8,B,AA 6061
65.024,67.819,0,DOWN,9500,0.508,26.67,42.33333,3,50.8,B,AA 6061
73.728,75.691,0,UP,9500,0.508,26.67,63.5,3,50.8,B,AA 6061
78.677,80.576,0,DOWN,9500,0.508,26.67,63.5,3,50.8,B,AA 6061
85.675,87.147,0,UP,9500,0.508,26.67,84.66667,3,50.8,B,AA 6061
89.749,91.179,0,DOWN,9500,0.508,26.67,84.66667,3,50.8,B,AA 6061
95.915,97.088,0,UP,9500,0.508,26.67,105.83333,3,50.8,B,AA 6061
99.456,100.587,0,DOWN,9500,0.508,26.67,105.83333,3,50.8,B,AA 6061
106.603,111.019,0,UP,10500,0.508,26.67,42.33333,3,50.8,B,AA 6061
112.533,116.715,0,DOWN,10500,0.508,26.67,42.33333,3,50.8,B,AA 6061
122.048,125.12,0,UP,10500,0.508,26.67,63.5,3,50.8,B,AA 6061
127.019,129.963,0,DOWN,10500,0.508,26.67,63.5,3,50.8,B,AA 6061
134.016,135.765,0,UP,10500,0.508,26.67,84.66667,3,50.8,B,AA 6061
138.091,139.904,0,DOWN,10500,0.508,26.67,84.66667,3,50.8,B,AA 6061
144.235,145.685,0,UP,10500,0.508,26.67,105.83333,3,50.8,B,AA 6061
147.797,149.035,0,DOWN,10500,0.508,26.67,105.83333,3,50.8,B,AA 6061
155.136,158.016,0,UP,11500,0.508,26.67,42.33333,3,50.8,B,AA 6061
161.92,164.651,0,DOWN,11500,0.508,26.67,42.33333,3,50.8,B,AA 6061
170.603,172.544,0,UP,11500,0.508,26.67,63.5,3,50.8,B,AA 6061
175.573,177.387,0,DOWN,11500,0.508,26.67,63.5,3,50.8,B,AA 6061
182.549,184.021,0,UP,11500,0.508,26.67,84.66667,3,50.8,B,AA 6061
186.645,188.032,0,DOWN,11500,0.508,26.67,84.66667,3,50.8,B,AA 6061
192.789,193.963,0,UP,11500,0.508,26.67,105.83333,3,50.8,B,AA 6061
196.331,197.483,0,DOWN,11500,0.508,26.67,105.83333,3,50.8,B,AA 6061
203.819,206.677,0,UP,8500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
210.581,213.077,0,DOWN,8500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
219.221,221.056,0,UP,8500,0.1016,26.67,63.5,3,50.8,B,AA 6061
224.192,225.984,0,DOWN,8500,0.1016,26.67,63.5,3,50.8,B,AA 6061
231.125,232.405,0,UP,8500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
235.221,236.587,0,DOWN,8500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
241.323,242.453,0,UP,8500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
244.885,245.952,0,DOWN,8500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
251.797,254.571,0,UP,9500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
258.56,260.992,0,DOWN,9500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
267.2,269.056,0,UP,9500,0.1016,26.67,63.5,3,50.8,B,AA 6061
272.171,273.963,0,DOWN,9500,0.1016,26.67,63.5,3,50.8,B,AA 6061
279.125,280.512,0,UP,9500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
283.179,284.587,0,DOWN,9500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
289.301,290.432,0,UP,9500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
292.843,293.952,0,DOWN,9500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
299.136,302.891,0,UP,10500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
306.731,310.08,0,DOWN,10500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
315.371,317.461,0,UP,10500,0.1016,26.67,63.5,3,50.8,B,AA 6061
320.341,322.667,0,DOWN,10500,0.1016,26.67,63.5,3,50.8,B,AA 6061
326.699,329.877,0,UP,10500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
331.371,333.056,0,DOWN,10500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
337.472,339.563,0,UP,10500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
340.565,342.763,0,DOWN,10500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
348.11,351.257,0,UP,11500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
355.192,358.677,0,DOWN,11500,0.1016,26.67,42.33333,3,50.8,B,AA 6061
363.961,365.76,0,UP,11500,0.1016,26.67,63.5,3,50.8,B,AA 6061
369.02,370.481,0,DOWN,11500,0.1016,26.67,63.5,3,50.8,B,AA 6061
375.765,377.451,0,UP,11500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
379.812,381.161,0,DOWN,11500,0.1016,26.67,84.66667,3,50.8,B,AA 6061
385.771,387.345,0,UP,11500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
389.419,390.464,0,DOWN,11500,0.1016,26.67,105.83333,3,50.8,B,AA 6061
