start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
13.397,15.104,0,UP,8250,25.4,0.635,23.28333,5,12.7,E,AISI 1018
16.96,18.688,0,DOWN,8250,25.4,0.635,23.28333,5,12.7,E,AISI 1018
21.781,23.253,0,UP,8250,25.4,0.635,27.51667,5,12.7,E,AISI 1018
24.981,26.453,0,DOWN,8250,25.4,0.635,27.51667,5,12.7,E,AISI 1018
29.419,30.699,0,UP,8250,25.4,0.635,31.75,5,12.7,E,AISI 1018
32.363,33.643,0,DOWN,8250,25.4,0.635,31.75,5,12.7,E,AISI 1018
36.501,37.568,0,UP,8250,25.4,0.635,38.1,5,12.7,E,AISI 1018
39.147,40.167,0,DOWN,8250,25.4,0.635,38.1,5,12.7,E,AISI 1018
43.353,45.163,0,UP,8750,25.4,0.635,23.28333,5,12.7,E,AISI 1018
46.997,48.688,0,DOWN,8750,25.4,0.635,23.28333,5,12.7,E,AISI 1018
51.819,53.291,0,UP,8750,25.4,0.635,27.51667,5,12.7,E,AISI 1018
55.019,56.491,0,DOWN,8750,25.4,0.635,27.51667,5,12.7,E,AISI 1018
59.456,60.736,0,UP,8750,25.4,0.635,31.75,5,12.7,E,AISI 1018
62.4,63.68,0,DOWN,8750,25.4,0.635,31.75,5,12.7,E,AISI 1018
66.539,67.605,0,UP,8750,25.4,0.635,38.1,5,12.7,E,AISI 1018
69.184,70.251,0,DOWN,8750,25.4,0.635,38.1,5,12.7,E,AISI 1018
73.387,75.136,0,UP,9250,25.4,0.635,23.28333,5,12.7,E,AISI 1018
76.971,78.72,0,DOWN,9250,25.4,0.635,23.28333,5,12.7,E,AISI 1018
81.813,83.285,0,UP,9250,25.4,0.635,27.51667,5,12.7,E,AISI 1018
85.013,86.485,0,DOWN,9250,25.4,0.635,27.51667,5,12.7,E,AISI 1018
89.451,90.731,0,UP,9250,25.4,0.635,31.75,5,12.7,E,AISI 1018
92.395,93.675,0,DOWN,9250,25.4,0.635,31.75,5,12.7,E,AISI 1018
96.512,97.6,0,UP,9250,25.4,0.635,38.1,5,12.7,E,AISI 1018
99.179,100.245,0,DOWN,9250,25.4,0.635,38.1,5,12.7,E,AISI 1018
103.381,105.131,0,UP,9750,25.4,0.635,23.28333,5,12.7,E,AISI 1018
106.965,108.693,0,DOWN,9750,25.4,0.635,23.28333,5,12.7,E,AISI 1018
111.787,113.28,0,UP,9750,25.4,0.635,27.51667,5,12.7,E,AISI 1018
115.008,116.48,0,DOWN,9750,25.4,0.635,27.51667,5,12.7,E,AISI 1018
119.445,120.725,0,UP,9750,25.4,0.635,31.75,5,12.7,E,AISI 1018
122.368,123.648,0,DOWN,9750,25.4,0.635,31.75,5,12.7,E,AISI 1018
126.507,127.571,0,UP,9750,25.4,0.635,38.1,5,12.7,E,AISI 1018
129.152,130.219,0,DOWN,9750,25.4,0.635,38.1,5,12.7,E,AISI 1018
134.123,135.808,0,UP,8250,25.4,0.127,23.28333,5,12.7,E,AISI 1018
