start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
12.843,17.728,1,UP,9000,12.7,0.254,22.01333,2,6.35,A,AA 6061
19.456,24.299,0,DOWN,9000,12.7,0.254,22.01333,2,6.35,A,AA 6061
27.029,31.531,1,UP,9000,12.7,0.254,23.70667,2,6.35,A,AA 6061
33.237,37.739,0,DOWN,9000,12.7,0.254,23.70667,2,6.35,A,AA 6061
40.427,44.629,1,UP,9000,12.7,0.254,25.4,2,6.35,A,AA 6061
46.293,50.496,0,DOWN,9000,12.7,0.254,25.4,2,6.35,A,AA 6061
53.184,57.109,1,UP,9000,12.7,0.254,27.09333,2,6.35,A,AA 6061
58.752,62.677,0,DOWN,9000,12.7,0.254,27.09333,2,6.35,A,AA 6061
66.411,71.275,1,UP,10000,12.7,0.254,22.01333,2,6.35,A,AA 6061
73.003,77.845,1,DOWN,10000,12.7,0.254,22.01333,2,6.35,A,AA 6061
80.576,85.099,1,UP,10000,12.7,0.254,23.70667,2,6.35,A,AA 6061
86.784,91.285,1,DOWN,10000,12.7,0.254,23.70667,2,6.35,A,AA 6061
93.973,98.197,1,UP,10000,12.7,0.254,25.4,2,6.35,A,AA 6061
99.861,104.064,1,DOWN,10000,12.7,0.254,25.4,2,6.35,A,AA 6061
106.731,110.677,1,UP,10000,12.7,0.254,27.09333,2,6.35,A,AA 6061
112.299,116.245,1,DOWN,10000,12.7,0.254,27.09333,2,6.35,A,AA 6061
120.107,124.949,1,UP,11000,12.7,0.254,22.01333,2,6.35,A,AA 6061
126.72,131.563,1,DOWN,11000,12.7,0.254,22.01333,2,6.35,A,AA 6061
134.293,138.773,1,UP,11000,12.7,0.254,23.70667,2,6.35,A,AA 6061
140.501,145.003,1,DOWN,11000,12.7,0.254,23.70667,2,6.35,A,AA 6061
147.691,151.893,1,UP,11000,12.7,0.254,25.4,2,6.35,A,AA 6061
153.579,157.76,1,DOWN,11000,12.7,0.254,25.4,2,6.35,A,AA 6061
160.427,164.373,1,UP,11000,12.7,0.254,27.09333,2,6.35,A,AA 6061
166.037,169.963,1,DOWN,11000,12.7,0.254,27.09333,2,6.35,A,AA 6061
174.101,178.923,1,UP,12000,12.7,0.254,22.01333,2,6.35,A,AA 6061
180.672,185.515,1,DOWN,12000,12.7,0.254,22.01333,2,6.35,A,AA 6061
188.267,192.747,1,UP,12000,12.7,0.254,23.70667,2,6.35,A,AA 6061
194.453,198.955,1,DOWN,12000,12.7,0.254,23.70667,2,6.35,A,AA 6061
201.664,205.867,1,UP,12000,12.7,0.254,25.4,2,6.35,A,AA 6061
207.531,211.712,1,DOWN,12000,12.7,0.254,25.4,2,6.35,A,AA 6061
214.4,218.347,1,UP,12000,12.7,0.254,27.09333,2,6.35,A,AA 6061
219.968,223.915,1,DOWN,12000,12.7,0.254,27.09333,2,6.35,A,AA 6061
228.053,232.875,1,UP,9000,12.7,0.127,22.01333,2,6.35,A,AA 6061
234.645,239.445,0,DOWN,9000,12.7,0.127,22.01333,2,6.35,A,AA 6061
242.197,246.677,1,UP,9000,12.7,0.127,23.70667,2,6.35,A,AA 6061
248.363,252.864,0,DOWN,9000,12.7,0.127,23.70667,2,6.35,A,AA 6061
255.552,259.755,1,UP,9000,12.7,0.127,25.4,2,6.35,A,AA 6061
261.397,265.6,0,DOWN,9000,12.7,0.127,25.4,2,6.35,A,AA 6061
268.267,272.192,1,UP,9000,12.7,0.127,27.09333,2,6.35,A,AA 6061
273.813,277.76,0,DOWN,9000,12.7,0.127,27.09333,2,6.35,A,AA 6061
281.408,286.229,1,UP,10000,12.7,0.127,22.01333,2,6.35,A,AA 6061
287.957,292.8,1,DOWN,10000,12.7,0.127,22.01333,2,6.35,A,AA 6061
295.531,300.011,1,UP,10000,12.7,0.127,23.70667,2,6.35,A,AA 6061
301.717,306.197,1,DOWN,10000,12.7,0.127,23.70667,2,6.35,A,AA 6061
308.907,313.088,1,UP,10000,12.7,0.127,25.4,2,6.35,A,AA 6061
314.752,318.933,1,DOWN,10000,12.7,0.127,25.4,2,6.35,A,AA 6061
321.621,325.547,1,UP,10000,12.7,0.127,27.09333,2,6.35,A,AA 6061
327.168,331.093,1,DOWN,10000,12.7,0.127,27.09333,2,6.35,A,AA 6061
334.933,339.755,1,UP,11000,12.7,0.127,22.01333,2,6.35,A,AA 6061
