start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
14.592,20.928,1,UP,8800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
22.784,29.12,0,DOWN,8800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
31.957,37.739,1,UP,8800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
39.531,45.291,0,DOWN,8800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
48.064,53.355,1,UP,8800,19.05,0.1905,20.32,2,6.35,A,AA 6061
55.104,60.395,0,DOWN,8800,19.05,0.1905,20.32,2,6.35,A,AA 6061
63.125,68.011,1,UP,8800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
69.696,74.581,0,DOWN,8800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
78.336,84.693,0,UP,9800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
86.549,92.885,0,DOWN,9800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
95.723,101.483,0,UP,9800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
103.296,109.035,0,DOWN,9800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
111.829,117.163,0,UP,9800,19.05,0.1905,20.32,2,6.35,A,AA 6061
118.869,124.139,0,DOWN,9800,19.05,0.1905,20.32,2,6.35,A,AA 6061
126.869,131.797,0,UP,9800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
133.461,138.347,0,DOWN,9800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
142.293,148.715,1,UP,10800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
150.507,156.864,0,DOWN,10800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
159.616,165.525,1,UP,10800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
167.253,173.013,0,DOWN,10800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
175.787,181.12,1,UP,10800,19.05,0.1905,20.32,2,6.35,A,AA 6061
182.827,188.117,0,DOWN,10800,19.05,0.1905,20.32,2,6.35,A,AA 6061
190.827,195.776,1,UP,10800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
197.419,202.304,0,DOWN,10800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
205.845,212.821,0,UP,11800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
214.677,221.013,0,DOWN,11800,19.05,0.1905,16.93333,2,6.35,A,AA 6061
223.851,229.632,0,UP,11800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
231.424,237.184,0,DOWN,11800,19.05,0.1905,18.62667,2,6.35,A,AA 6061
239.957,245.248,0,UP,11800,19.05,0.1905,20.32,2,6.35,A,AA 6061
246.997,252.267,0,DOWN,11800,19.05,0.1905,20.32,2,6.35,A,AA 6061
254.997,260.288,0,UP,11800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
261.589,266.475,0,DOWN,11800,19.05,0.1905,22.01333,2,6.35,A,AA 6061
270.699,277.035,1,UP,8800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
278.891,285.205,0,DOWN,8800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
288.021,293.781,1,UP,8800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
295.573,301.312,0,DOWN,8800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
304.107,309.355,1,UP,8800,19.05,0.0635,20.32,2,6.35,A,AA 6061
311.125,316.373,0,DOWN,8800,19.05,0.0635,20.32,2,6.35,A,AA 6061
319.104,323.989,1,UP,8800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
325.675,330.539,0,DOWN,8800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
334.293,340.651,1,UP,9800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
342.485,348.8,0,DOWN,9800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
351.637,357.419,1,UP,9800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
359.189,364.928,0,DOWN,9800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
367.701,373.013,1,UP,9800,19.05,0.0635,20.32,2,6.35,A,AA 6061
374.72,379.989,0,DOWN,9800,19.05,0.0635,20.32,2,6.35,A,AA 6061
382.72,387.627,1,UP,9800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
389.291,394.155,0,DOWN,9800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
398.101,404.48,1,UP,10800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
406.272,412.608,0,DOWN,10800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
415.424,421.227,1,UP,10800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
422.997,428.757,0,DOWN,10800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
431.509,436.821,1,UP,10800,19.05,0.0635,20.32,2,6.35,A,AA 6061
438.528,443.797,0,DOWN,10800,19.05,0.0635,20.32,2,6.35,A,AA 6061
446.507,451.392,1,UP,10800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
453.077,457.941,0,DOWN,10800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
461.44,468.459,0,UP,11800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
470.315,476.629,0,DOWN,11800,19.05,0.0635,16.93333,2,6.35,A,AA 6061
479.445,485.184,0,UP,11800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
486.997,492.736,0,DOWN,11800,19.05,0.0635,18.62667,2,6.35,A,AA 6061
495.509,500.8,0,UP,11800,19.05,0.0635,20.32,2,6.35,A,AA 6061
502.549,507.819,0,DOWN,11800,19.05,0.0635,20.32,2,6.35,A,AA 6061
510.528,515.392,0,UP,11800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
517.099,521.963,0,DOWN,11800,19.05,0.0635,22.01333,2,6.35,A,AA 6061
