start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
12.779,15.573,2,UP,9500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
19.52,23.104,2,DOWN,9500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
28.672,31.531,2,UP,10500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
35.392,38.165,2,DOWN,10500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
44.48,47.36,2,UP,11500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
51.221,53.973,2,DOWN,11500,0.508,26.67,42.33333,3,50.8,B*,AA 6061
61.419,63.573,2,UP,10000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
66.821,68.911,2,DOWN,10000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
72.128,74.283,2,UP,10000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
77.568,79.808,2,DOWN,10000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
85.739,87.915,2,UP,11000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
91.072,93.141,2,DOWN,11000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
96.469,98.56,2,UP,11000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
101.867,103.936,2,DOWN,11000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
109.888,113.387,2,UP,12000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
114.453,117.504,2,DOWN,12000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
120.64,123.435,2,UP,12000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
125.675,128.448,2,DOWN,12000,0.254,13.335,52.91667,3,50.8,B*,AA 6061
