start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
13.675,20.053,1,UP,9000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
21.845,28.224,1,DOWN,9000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
30.997,36.8,1,UP,9000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
38.528,44.331,1,DOWN,9000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
47.061,52.373,1,UP,9000,38.1,0.1905,20.32,2,6.35,A,AA 6061
54.037,59.371,1,DOWN,9000,38.1,0.1905,20.32,2,6.35,A,AA 6061
62.037,66.965,1,UP,9000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
68.587,73.493,1,DOWN,9000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
76.565,82.965,1,UP,10000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
84.736,91.093,1,DOWN,10000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
93.888,99.712,1,UP,10000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
101.419,107.733,1,DOWN,10000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
109.952,115.285,1,UP,10000,38.1,0.1905,20.32,2,6.35,A,AA 6061
116.928,122.24,1,DOWN,10000,38.1,0.1905,20.32,2,6.35,A,AA 6061
124.949,129.877,1,UP,10000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
131.477,136.384,1,DOWN,10000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
139.392,145.792,1,UP,11000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
147.563,153.941,1,DOWN,11000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
156.736,162.539,1,UP,11000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
164.245,170.048,1,DOWN,11000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
172.8,178.062,1,UP,11000,38.1,0.1905,20.32,2,6.35,A,AA 6061
179.806,185.088,1,DOWN,11000,38.1,0.1905,20.32,2,6.35,A,AA 6061
187.776,192.704,1,UP,11000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
194.325,199.232,1,DOWN,11000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
202.219,208.704,1,UP,12000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
210.389,216.768,1,DOWN,12000,38.1,0.1905,16.93333,2,6.35,A,AA 6061
218.709,226.005,1,UP,12000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
227.093,232.896,1,DOWN,12000,38.1,0.1905,18.62667,2,6.35,A,AA 6061
235.605,240.981,1,UP,12000,38.1,0.1905,20.32,2,6.35,A,AA 6061
242.624,248.021,1,DOWN,12000,38.1,0.1905,20.32,2,6.35,A,AA 6061
250.603,255.573,1,UP,12000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
257.152,262.08,1,DOWN,12000,38.1,0.1905,22.01333,2,6.35,A,AA 6061
268.267,274.581,1,UP,9000,38.1,0.0635,16.93333,2,6.35,A,AA 6061
